"","","","/表頭_項目_db","事業所数","合計","衣料品計","紳士服・洋品","婦人・子供服・洋品","その他の衣料品","身の回り品","飲食料品","その他計","家具","家庭用電気機械器具","家庭用品","その他の商品","食堂・喫茶","商品券販売額","営業日数","従業者数","売場面積"
"地域_db","表側_項目_db","時間軸_db","/単位_db","店","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","百万円","日","人","千平方m"
"北海道","スーパー","2020年10月","","325","65676","4023","981","2036","295","711","52534","9119","43","483","1037","7521","35","217","30.6","29418","1256"
"北海道","スーパー","2020年11月","","326","68855","4190","960","1960","273","996","54925","9739","44","557","1067","8045","27","243","30.1","30056","1255"
"北海道","スーパー","2020年12月","","326","85848","4128","1028","1923","336","841","68563","13157","46","712","1374","11002","22","455","30.7","29974","1255"
"青森県","合計(百貨店＋スーパー)","2018年","","64","168043","20047","3354","12132","1395","3166","122258","25737","207","1023","2228","21580","699","754","364.5","6792","345"
"青森県","合計(百貨店＋スーパー)","2019年","","64","167216","19366","3202","11743","1485","2936","121907","25944","197","1043","2189","21764","750","637","364.1","6792","325"
"青森県","合計(百貨店＋スーパー)","2020年","","75","177696","15142","2493","8959","1260","2430","137306","25248","140","1174","2154","21219","561","573","365","7449","343"
"青森県","合計(百貨店＋スーパー)","2018年度","","64","168095","20089","3353","12169","1399","3167","122166","25841","219","1036","2251","21608","727","730","364.6","6602","344"
"青森県","合計(百貨店＋スーパー)","2019年度","","74","167751","18402","3047","11090","1467","2798","123526","25823","164","1012","2151","21759","736","614","365.3","7639","338"
"青森県","合計(百貨店＋スーパー)","2020年1～3月","","74","41458","4404","710","2701","344","649","30784","6269","31","281","535","5231","191","152","90.8","7639","338"
"青森県","合計(百貨店＋スーパー)","2020年4～6月","","74","42567","3268","550","1979","226","513","33648","5651","28","262","512","4750","98","111","90.9","7705","341"
"青森県","合計(百貨店＋スーパー)","2020年7～9月","","74","45570","3506","504","2014","329","659","35658","6406","41","304","550","5367","144","149","91.8","7315","340"
"青森県","合計(百貨店＋スーパー)","2020年10～12月","","75","48102","3964","728","2265","361","610","37216","6922","39","327","557","5871","127","161","91.5","7449","343"
"青森県","合計(百貨店＋スーパー)","2020年1月","","64","13625","1801","310","1067","136","287","9631","2193","13","113","182","1812","73","58","31","6614","325"
"青森県","合計(百貨店＋スーパー)","2020年2月","","64","12758","1195","189","747","93","166","9710","1853","8","69","156","1562","57","39","29","6453","325"
"青森県","合計(百貨店＋スーパー)","2020年3月","","74","15075","1409","211","887","115","196","11443","2223","10","99","197","1857","61","56","30.8","7639","338"
"青森県","合計(百貨店＋スーパー)","2020年4月","","74","13449","781","106","497","55","123","11012","1657","5","66","150","1411","26","38","30.1","7254","339"
"青森県","合計(百貨店＋スーパー)","2020年5月","","74","14242","971","160","606","66","139","11377","1894","8","87","163","1605","31","31","30.9","7694","339"
